     MaNGAID     objRA    objDec    g_ps1    r_ps1    i_ps1    z_ps1 gerr_ps1 rerr_ps1 ierr_ps1 zerr_ps1
 3-125861369 228.70076   1.59856   14.708   13.942 -999.000   13.475    0.004  999.000  999.000    0.007
 3-126118788 229.62560   0.95070   14.918   14.321   14.143   13.984    0.004  999.000  999.000    0.006
 3-126133238 158.89062  26.02786   14.683   13.942   13.711   13.599    0.002    0.002    0.021    0.004
 3-126917212 126.70918  -1.18488   14.646   13.632   13.191   12.958    0.001    0.014    0.005    0.001
 3-12711610  285.54068  31.95062   15.675   15.996   16.313   16.551    0.004    0.005    0.004    0.002
 3-12732917  290.61316  37.33912   15.810   15.462   15.323   15.275    0.005    0.005    0.001    0.005
 3-12733826  291.01369  37.66093   15.914   15.569   15.451   15.404    0.005    0.002    0.009    0.003
 3-12735415  291.44493  38.09153   15.682   14.786   14.460   14.277    0.002    0.004    0.005    0.012
 3-12736145  291.64525  38.28123   14.894   13.659 -999.000 -999.000    0.006  999.000  999.000  999.000
 3-12737679  291.81055  38.35718   16.148   16.068   16.142   16.183    0.003    0.011    0.007    0.003
 3-127404563 229.60559   2.37081   14.814   14.177   13.903   13.780    0.003  999.000    0.004    0.003
 3-127705619 126.71259  -0.19364   15.130   14.156   13.782   13.612    0.003    0.004    0.005    0.004
 3-127706055 126.09757  -0.78143   14.886   13.839   13.412   13.150    0.006    0.003  999.000    0.004
 3-127989997 126.40240  -0.26082   14.747   14.022   13.723   13.568    0.002    0.005  999.000    0.006
 3-128276197 126.38520  -0.08472   14.521   13.768   13.532   13.434    0.004    0.008  999.000    0.011
 3-128555901 125.63270  -0.21407   14.591   13.913   13.667   13.568    0.003    0.002  999.000    0.006
 3-128829944 126.86461   1.03519   14.994   14.001   13.618   13.445    0.013    0.002  999.000    0.005
 3-128830354 126.63794   0.79931   15.206   14.228   13.856   13.656    0.006    0.003    0.003    0.005
 3-129120339 125.13805  -0.05182   15.317   15.282   15.330   15.398    0.009    0.005    0.002    0.005
 3-129398743 125.36858   0.42493   15.890   15.589   15.503   15.491    0.004    0.003    0.003    0.003
 3-129685936 125.87687   1.09175   14.695   13.995   13.717   13.522    0.002    0.019    0.015    0.003
 3-129984081 152.95794  25.11688   16.285   16.043   15.933   15.922    0.010    0.010    0.002    0.003
 3-12998829  286.14221  32.26832   16.696   16.571   16.582   16.605    0.006    0.004    0.002    0.002
 3-13022081  291.67319  38.10278 -999.000 -999.000 -999.000 -999.000  999.000  999.000  999.000  999.000
 3-13022789  291.91289  38.22218   15.395   15.287   15.306   15.320    0.006    0.003    0.007    0.003
 3-130323852 152.94089  25.46993   16.264   16.012   15.927   15.913    0.003    0.008    0.003    0.005
 3-130323870 153.08356  25.45695   16.493   15.898   15.678   15.597    0.003    0.004    0.003    0.006
 3-130323918 152.48485  25.04261   15.723   15.217   14.661   14.985    0.011    0.128  999.000    0.002
 3-130323920 152.59307  25.04877   16.013   15.718   15.613   15.603    0.005    0.008    0.002    0.004
 3-130324009 152.13687  24.78535   15.685   15.167   14.959   14.896    0.008    0.004    0.005    0.005
 3-130324010 152.27565  24.80424   15.893   14.870   14.349   14.060    0.024    0.020    0.019    0.008
 3-130324035 152.28729  24.74667   15.975   15.732   15.676   15.705    0.005    0.007    0.005    0.004
 3-130672440 152.11808  25.17746   15.589   15.074   14.890   14.832    0.007    0.003    0.007    0.004
 3-130672461 151.95600  24.88736   14.895   14.432   14.248   14.187    0.010    0.006    0.007    0.010
 3-131020145 152.61422  25.81197   16.840   16.185   15.939   15.847    0.002    0.005    0.002    0.006
 3-131020320 151.69865  24.90342   15.111   14.514   14.299   14.199    0.006    0.007  999.000    0.003
 3-131364913 192.55677  41.39752   15.668   15.321   15.226   15.202    0.007    0.005    0.004    0.004
 3-131370202 152.32640  25.77917   16.447   16.474   16.579   16.699    0.009    0.002    0.004    0.005
 3-131370212 152.26032  25.89612   15.938   15.416   15.194   15.112    0.005    0.003    0.003    0.005
 3-131370354 151.60343  25.19560   17.338   16.994   16.884   16.879    0.006  999.000    0.003    0.005
 3-131370358 151.49484  25.02136   16.726   15.710   15.266   15.055    0.006    0.004    0.005    0.003
 3-131370362 151.59389  25.09227   17.119   16.456   16.218   16.123    0.008    0.007    0.007    0.008
 3-131718032 192.14761  41.92662   17.639   17.186   16.977   16.897    0.005    0.004    0.003    0.003
 3-131723125 153.05813  26.73792   16.530   16.252   16.153   16.145    0.003    0.002    0.003    0.004
 3-131723126 153.03094  26.72074   18.513   17.479   17.074   16.885    0.006    0.005    0.008    0.005
 3-131723302 152.06977  25.87041   15.480   15.520   15.641   15.758    0.008    0.002    0.004    0.007
 3-131723460 151.25173  25.21719   16.256   15.852   15.693   15.639    0.003    0.002    0.006    0.003
 3-131723461 151.45118  25.29527   16.192   15.928   15.848   15.865    0.008    0.008    0.006    0.003
 3-132049281 192.24405  42.08794   15.210   14.915   14.804   14.785    0.003    0.003    0.004    0.006
 3-132054417 152.42763  26.69944   16.835   15.820   15.382   15.174    0.005    0.004    0.004    0.004
 3-132054468 152.23589  26.46097   15.661   15.342   15.236   15.220    0.006    0.007    0.001    0.007
 3-132054554 151.61968  25.88929   16.287   15.995   15.906   15.883    0.003    0.005    0.003    0.002
 3-132054715 151.06856  25.32415   15.336   15.037   14.952   14.947    0.004    0.004    0.008    0.005
 3-132054716 150.93803  25.30475   15.589   15.151   14.996   14.944    0.003    0.005    0.004    0.003
 3-132377735 194.20733  40.67034   15.647   14.597   14.135   13.853    0.013    0.005    0.007    0.014
 3-132383074 152.41322  26.88314   16.440   16.171   16.100   16.097    0.004    0.005    0.007    0.003
 3-132383315 151.24011  25.78876   16.369   15.891   15.699   15.615    0.008    0.002    0.002    0.003
 3-132711343 192.72457  42.32427   17.040   16.711   16.590   16.573    0.006    0.004    0.003    0.003
 3-132716374 152.44464  27.18291   16.189   15.653   15.444   15.368    0.003    0.005    0.003    0.002
 3-132716437 151.78146  26.77083   17.750   17.445   17.364   17.353    0.004    0.003    0.004    0.008
 3-132716468 151.65951  26.49565   17.100   16.467   16.183   16.072    0.004  999.000    0.004    0.004
 3-132716627 150.96437  25.84319   15.778   15.486   15.397   15.369    0.003    0.003    0.003    0.005
 3-132716651 151.05415  25.98651   14.718   14.445   14.358   14.348    0.003    0.001    0.004    0.004
 3-133045425 194.37726  41.07280   15.710   14.638   14.130   13.894    0.003    0.007    0.002    0.004
 3-133045559 193.65316  41.87008   16.485   16.314   16.310   16.350    0.009    0.004    0.002    0.002
 3-133045582 193.34973  42.15459   15.387   14.407   13.983   13.771    0.005    0.004    0.003    0.002
 3-133050826 151.93755  27.14659   17.720   16.757   16.380   16.214    0.005    0.003    0.004    0.007
 3-133051121 150.43088  25.90344   17.236   16.912   16.797   16.781    0.004    0.005    0.006    0.006
 3-133381030 194.08653  41.90286   16.574   15.361   14.397   13.943    0.003    0.006    0.004    0.003
 3-133381148 192.80194  42.82838   17.681   17.369   17.270   17.258    0.006    0.006    0.006    0.007
 3-133381151 192.66386  42.93663   18.581   17.273   15.313   14.427    0.034    0.002    0.003    0.002
 3-133386446 151.29877  26.77933   14.860   13.861   13.441   13.233    0.005    0.003  999.000  999.000
 3-133386608 150.37730  26.13869   17.860   16.802   16.327   16.082    0.005    0.003    0.002    0.011
 3-133386664 150.17022  25.88138   15.814   14.784   14.318   14.084    0.004    0.003    0.003    0.001
 3-133730773 151.07210  27.10195   18.129   17.321   17.109   16.858    0.098    0.025    0.026    0.008
 3-134064467 195.24984  41.45484   15.853   15.535   15.454   15.430    0.002    0.002    0.006    0.002
 3-134064659 193.63604  42.66212   16.014   14.781   13.920   13.562    0.023    0.017    0.023    0.014
 3-134064759 192.75267  43.16409   15.959   15.212   14.902   14.757    0.003    0.003    0.003    0.003
 3-134070255 150.70390  26.89851   18.129   17.018   16.481   16.230    0.008    0.004    0.002    0.002
 3-134398309 194.38206  42.47060   16.704   15.756   15.413   15.256    0.004    0.003    0.002    0.002
 3-134398359 194.17163  42.61973   15.687   15.133   14.896   14.774    0.001    0.008    0.004    0.005
 3-134398406 193.48755  43.05631   16.751   16.458   16.351   16.327    0.008    0.003    0.004    0.005
 3-134409359 132.22517  10.77807   16.567   15.463   14.929   14.685    0.002    0.002    0.003    0.004
 3-134409454 132.09722  10.72002   16.180   15.352   15.054   14.906    0.003    0.003    0.001    0.007
 3-134723841 195.69133  41.60348   15.438   14.437   14.016   13.813    0.005    0.005    0.003    0.007
 3-134724013 194.43217  42.68116   16.429   15.302   14.788   14.522    0.005    0.004    0.004    0.001
 3-134734870 132.91494  11.70301   15.793   15.520   15.455   15.456    0.001    0.004    0.001    0.002
 3-134735219 132.78454  11.40203   15.406   14.885   14.690   14.616    0.003    0.003    0.004    0.002
 3-134735258 132.78264  11.38634   16.165   15.918   15.850   15.851    0.005    0.003    0.002    0.003
 3-134735318 132.42096  11.25597   16.019   15.764   15.691   15.688    0.004    0.003    0.003    0.003
 3-134735412 132.29181  11.05817   14.669   14.423   14.395   14.407    0.005    0.005    0.006    0.004
 3-134735531 132.22622  11.00642   16.395   15.349   14.853   14.619    0.003    0.003    0.002    0.006
 3-134735582 132.00199  10.77647   16.114   15.124   14.729   14.535    0.005    0.003    0.002    0.004
 3-134735673 131.93912  10.60556   15.174   14.465   14.243   14.103    0.005    0.002    0.011    0.006
 3-134735751 131.60352  10.56112   15.397   14.901   14.738   14.654    0.005    0.002    0.016    0.007
 3-134735754 131.80854  10.48438   15.452   15.170   15.115   15.116    0.003    0.002    0.007    0.004
 3-134735811 131.59358  10.54654   15.237   14.839   14.673   14.638    0.006    0.005    0.004    0.004
 3-135037860 161.23820  38.77745   15.452   14.433   13.996   13.795    0.003    0.002    0.004    0.005
 3-135046180 132.04263  10.99735   16.817   15.719   15.159   14.887    0.005    0.005    0.002    0.002
 3-135335695 161.07523  39.12540   18.570   17.406   16.273   15.752    0.007    0.007    0.003    0.003
 3-135343234 132.68998  11.92659   16.146   15.480   15.269   15.175    0.004    0.004    0.005    0.006
 3-135343353 132.66116  11.96735   15.499   15.117   15.022   14.992    0.003    0.006    0.004    0.003
 3-135343396 132.42598  11.92077   15.110   14.628   14.471   14.407    0.003    0.005    0.003    0.006
 3-135343629 132.17621  11.46113   15.195   14.955   14.888   14.898    0.003    0.003    0.004    0.004
 3-135343941 131.43680  10.99265   16.069   15.616   15.485   15.448    0.003    0.003    0.004    0.003
 3-135624490 193.99209  43.51235   14.940   14.095   13.725   13.564    0.006    0.004    0.002    0.003
 3-135627870 160.52876  38.68554   14.973   14.455   14.275   14.207    0.003    0.007    0.004    0.002
 3-135627933 160.32781  38.46382   16.320   15.971   15.850   15.810    0.009    0.004    0.006    0.005
 3-135635704 131.98578  11.73217   15.333   14.643   14.374   14.247    0.003    0.003    0.005    0.005
 3-135635803 131.69023  11.37916   15.876   15.222   14.935   14.784    0.005    0.004    0.003    0.002
 3-135904805 195.40783  42.97690   16.144   14.904   14.212   13.878    0.005    0.006    0.006    0.005
 3-135908167 161.15284  39.72792   15.435   14.510   14.142   13.977    0.006    0.002    0.005    0.003
 3-135916063 132.04090  12.04709   15.379   14.506   14.149   14.006    0.003    0.002    0.003    0.003
 3-135916149 131.83076  11.79757   15.585   14.517   14.081   13.860    0.002    0.002    0.005    0.001
 3-135916236 131.64159  11.63119   15.386   15.131   15.085   15.085    0.004    0.002    0.005    0.001
 3-13593391  287.64618  32.94251   16.951   17.020   17.138   17.231    0.008    0.003    0.008    0.005
 3-13609085  291.18115  36.82645   15.590   14.346 -999.000 -999.000    0.007    0.003  999.000  999.000
 3-13610621  291.49944  37.05928   15.591   15.109   14.943   14.894    0.004    0.003    0.003    0.005
 3-13612213  291.99031  37.67269   14.324 -999.000   14.282   13.567    0.236  999.000  999.000    0.011
 3-13613036  292.26978  37.69816   13.851 -999.000 -999.000   13.233  999.000  999.000  999.000    0.006
 3-136187595 159.89314  38.69040   15.703   15.467   15.417   15.430    0.005    0.005    0.002    0.006
 3-136194810 132.54349  12.66431   15.922   15.160   14.902   14.791    0.003    0.002    0.004    0.002
 3-136195064 131.91280  12.27769   17.229   16.042   15.331   15.012    0.005    0.003    0.003    0.002
 3-136195071 132.12277  12.37195   14.946   14.335   14.096   14.003    0.005    0.004    0.004    0.003
 3-136195075 132.01892  12.31225   15.993   15.004   14.584   14.397    0.005    0.003    0.003    0.005
 3-136195076 131.98211  12.29417   15.948   15.049   14.731   14.597    0.008    0.004    0.002    0.005
 3-136467220 160.45276  39.73191   15.980   14.851   13.596   13.042    0.002    0.016    0.004    0.007
 3-136474723 132.37386  13.03073   16.407   15.478   15.115   14.963    0.003    0.002    0.002    0.003
 3-136474943 131.83888  12.34946   15.912   14.855   14.402   14.206    0.003    0.002    0.004    0.003
 3-136745760 160.81056  40.77938   15.316   14.808   14.652   14.572    0.006    0.004    0.003    0.009
 3-136745938 159.92148  39.50428   17.686   16.468   15.418   14.951    0.005    0.003    0.005    0.004
 3-136753197 132.32930  13.08218   14.923   14.572   14.466   14.442    0.003    0.004    0.005    0.002
 3-136753205 132.16649  13.09015   16.581   15.492   15.016   14.806    0.002    0.003    0.002    0.004
 3-136753284 132.01743  13.02513   15.435   14.685   14.397   14.258    0.004    0.001    0.004    0.004
 3-136753288 131.96307  12.89651   16.048   15.060   14.620   14.435    0.001    0.003    0.003    0.006
 3-136753289 131.97601  13.02780   16.298   15.132   14.543   14.287    0.003    0.002    0.002    0.004
 3-136753329 132.10652  12.90337   16.212   15.411   15.043   14.884    0.002    0.006    0.008    0.004
 3-137012900 207.21812  32.57149   15.563   15.265   15.116   15.159    0.011    0.012    0.010    0.008
 3-137018422 159.28227  39.39274   15.495   14.366   13.875   13.657    0.001    0.004    0.006    0.004
 3-137025941 131.89493  13.15095   14.683   14.145   13.951   13.855    0.005    0.009    0.003    0.008
 3-137026230 131.09903  12.40482   15.880   15.632   15.565   15.589    0.002    0.003    0.008    0.003
 3-137269326 208.30132  31.77478   17.631   16.634   16.210   16.007    0.004    0.004    0.002    0.003
 3-137282660 131.71641  13.25182   15.436   15.114   15.007   14.990    0.003    0.004    0.008    0.005
 3-137518763 208.62271  31.80700   16.198   15.278   14.884   14.703    0.007    0.003    0.001    0.004
 3-137518768 208.60726  31.68004   16.493   16.251   16.202   16.192    0.011    0.004    0.002    0.003
 3-137518774 208.76943  31.73644   14.670   13.952   13.715   13.622    0.004    0.007  999.000    0.006
 3-137518835 208.41608  31.89149   15.353   14.804   14.552   14.457    0.017    0.028    0.029    0.033
 3-137518905 208.24012  32.25610   15.542   15.203   15.108   15.069    0.042    0.003    0.004    0.005
 3-137524300 159.97577  40.90132   14.698   13.985   13.739   13.631    0.007    0.006    0.005    0.003
 3-137524534 158.67449  39.41150   14.939   14.289   14.058   13.969    0.004    0.007    0.003    0.003
 3-137532194 130.74694  12.81169   15.279   15.379   15.514   15.572    0.007    0.004    0.018    0.020
 3-137532315 130.70728  12.59866   16.481   16.367   16.404   16.440    0.005    0.006    0.004    0.004
 3-137764137 208.91719  31.75365   17.947   16.736   15.600   15.090    0.006    0.004    0.002    0.003
 3-137764210 208.54038  32.10156   17.268   16.793   16.610   16.524    0.004    0.005    0.003    0.004
 3-137764272 208.32975  32.32128   17.301   16.808   16.658   16.606    0.010  999.000    0.006    0.003
 3-137764448 207.41891  33.27160   15.662   14.910   14.571   14.414    0.004    0.003    0.003    0.004
 3-138020759 158.49854  40.01389   16.067   15.045   14.614   14.408    0.008    0.003    0.003    0.004
 3-138025085 139.81826  21.50718   16.257   15.916   15.807   15.804    0.005    0.003    0.001    0.072
 3-138266586 158.16622  40.03526   15.725   15.388   15.296   15.286    0.007    0.004    0.003    0.004
 3-138495292 239.27154   5.38147   15.698   15.712   15.790   15.822    0.006    0.004    0.004    0.004
 3-138504999 209.41724  32.51345   16.489   16.096   15.909   15.847    0.013    0.006    0.006    0.002
 3-138505076 208.82878  32.83034   16.040   14.853   13.814   13.330    0.004    0.004    0.008    0.003
 3-138505126 208.76454  33.15553   16.994   16.646   16.542   16.525    0.013    0.003    0.003    0.006
 3-138505177 208.18093  33.49591   17.254   15.997   14.617   13.993    0.003    0.009    0.005    0.002
 3-138505230 207.86473  33.95787   15.692   14.881   14.508   14.345    0.007    0.005    0.004    0.006
 3-138514910 139.83761  22.24518   15.283   14.090   13.333 -999.000    0.007    0.004  999.000  999.000
 3-138738793 240.14144   4.98421   15.581   14.706   14.386   14.226    0.005    0.003    0.004    0.003
 3-138738862 239.92968   5.15234   15.216   15.391   15.585   15.678    0.004    0.003    0.001    0.002
 3-138739015 239.68565   5.15633   15.894   15.449   15.261   15.182    0.003    0.002    0.002    0.002
 3-138739239 239.20122   5.76615   15.438   14.453   14.091   13.909    0.002    0.002    0.018    0.003
 3-138748852 209.78161  32.21604   16.136   14.888   14.027   13.615    0.010    0.007    0.009    0.002
 3-138748940 209.51818  32.49622   15.690   14.625   14.155   13.878    0.004    0.006    0.014    0.001
 3-138749100 208.81386  33.29781   15.009   14.393   14.182   14.103    0.007    0.003    0.008    0.003
 3-138749111 208.83763  33.47021   15.007   14.350   14.073   13.939    0.005    0.003    0.006    0.004
 3-138758788 139.89762  22.55289   15.700   15.739   15.851   15.890    0.003    0.003    0.005    0.006
 3-138758856 139.66154  22.34586   14.746   14.258   14.063   14.007    0.003    0.004    0.002    0.005
 3-138758988 139.27686  21.89973   14.542   13.944   13.734   13.651    0.010  999.000    0.001    0.002
 3-138759125 138.90946  21.48006   14.616   13.899   13.655   13.550    0.003    0.003  999.000    0.008
 3-13888928  286.49442  31.62094   16.843   15.623   14.925   14.585    0.003    0.003    0.001    0.005
 3-138981514 240.54234   4.90098   16.147   15.595   15.341   15.215    0.005    0.003    0.005    0.002
 3-138981659 240.29318   5.12003   15.724   15.417   15.316   15.292    0.002    0.004    0.001    0.002
 3-138981667 240.23430   5.07652   16.436   16.081   15.952   15.904    0.005    0.006    0.003    0.005
 3-138981669 240.23462   5.02037   16.357   16.023   15.902   15.859    0.002    0.003    0.002    0.003
 3-138981743 240.15322   5.20519   15.149   14.598   14.367   14.267    0.002    0.002    0.002    0.002
 3-138982278 239.18128   5.98116   14.773   14.391   14.274   14.205    0.005    0.005    0.004    0.003
 3-138991791 210.05830  32.55336   16.946   15.677   14.505   13.953    0.009    0.004    0.003    0.003
 3-138991844 209.96040  32.60861   17.185   15.948   14.514   13.880    0.011    0.003    0.005    0.005
 3-138991853 209.78730  32.73844   15.642   15.161   14.994   14.949    0.006    0.004    0.003    0.003
 3-138991893 209.53717  32.93284   16.291   16.028   15.972   15.990    0.002    0.001    0.004    0.004
 3-138991918 209.36512  33.04559   14.854   14.331   14.104   13.996    0.003    0.005    0.007    0.004
 3-138991995 208.93668  33.57841   15.159   14.617   14.410   14.292    0.003    0.004    0.081    0.003
 3-138992033 208.91648  33.64508   16.656   16.156   15.966   15.910    0.005    0.003    0.003    0.002
 3-138992121 208.41415  34.00679   15.691   14.947   14.618   14.457    0.019    0.004    0.004    0.007
 3-139002413 138.87279  21.94074   16.533   16.036   15.850   15.777    0.004    0.003    0.012    0.003
 3-139002574 138.35267  21.41969   15.490   14.725   14.420   14.287    0.004    0.005    0.002    0.004
 3-13914123  292.24928  37.31166   15.787   14.837   14.413   14.172    0.006    0.004    0.008    0.004
 3-13915669  292.42401  37.79450   15.065   14.433   14.223   14.122    0.007    0.010    0.041    0.008
 3-139221496 240.59387   5.15556   16.406   16.266   16.255   16.269    0.006    0.004    0.003    0.001
 3-139221563 240.40413   5.14584   14.698   14.750   14.515   14.628    0.043    0.056    0.041    0.025
 3-139221708 240.41636   5.35659   15.670   15.153   14.915   14.814    0.007    0.002    0.002    0.003
 3-139221724 240.19890   5.38007   16.576   16.710   16.902   16.982    0.003    0.004    0.002    0.007
 3-139221734 240.12646   5.50674   15.307   14.802   14.627   14.564    0.003    0.004    0.002    0.004
 3-139221756 240.17269   5.48551   16.513   15.550   15.188   15.000    0.004    0.002    0.002    0.003
 3-139221762 240.17479   5.62591   16.515   16.224   16.133   16.102    0.008    0.003    0.001    0.002
 3-139221877 240.05252   5.66601   16.512   16.046   15.844   15.748    0.006    0.005    0.003    0.004
 3-139221939 240.01597   5.72885   15.523   15.008   15.048   15.074    0.018    0.145    0.083    0.062
 3-139231881 209.75229  33.00324   16.192   15.461   15.234   15.150    0.003    0.004    0.003    0.004
 3-139231882 209.83211  32.96668   16.539   16.012   15.834   15.784    0.002    0.005    0.006    0.004
 3-139231928 209.46079  33.41477   16.418   16.067   15.960   15.922    0.005    0.003    0.004    0.006
 3-139231965 209.41831  33.44585   14.870   14.307   14.067   13.958    0.004    0.001    0.005    0.002
 3-139232044 208.97932  33.87675   14.869   14.245   14.010   13.920    0.064    0.009  999.000    0.006
 3-139242410 137.92922  21.34782   15.499   14.957   14.741   14.674    0.003    0.005    0.003    0.006
 3-139451502 241.15163   5.02661   15.349   15.187   15.154   15.172    0.004    0.003    0.003    0.002
 3-139451637 241.09814   5.01777   16.637   16.354   16.267   16.235    0.005    0.002    0.003    0.003
 3-139451677 240.96152   5.12793   16.450   16.060   15.907   15.842    0.003    0.004    0.002    0.003
 3-139451882 240.79580   5.36865   15.016   14.425   14.220   14.111    0.003    0.002    0.014    0.004
 3-139451968 240.36885   5.51068   15.746   15.051   14.772   14.633    0.005    0.006    0.003    0.003
 3-139452167 240.01002   5.88461   15.587   14.451   13.931   13.692    0.002    0.004    0.008    0.005
 3-139452198 240.10312   5.83308   16.045   15.942   15.955   16.003    0.005    0.006    0.003    0.008
 3-139452361 239.67524   6.09132   14.867   14.094   13.779   13.569    0.006    0.007    0.007    0.004
 3-139452364 239.73077   6.18383   14.672   14.150   13.933   13.853    0.004    0.005    0.012    0.002
 3-139461878 210.39769  32.65685   14.746   14.287   14.105   14.043    0.003    0.005    0.001    0.002
 3-139461894 210.35711  32.83716   17.146   16.645   16.469   16.392    0.004    0.003    0.004    0.003
 3-139461928 210.29793  33.02145   16.989   16.634   16.482   16.443    0.004    0.005    0.002    0.005
 3-139462001 210.00831  33.28515   16.545   16.288   16.207   16.202    0.006    0.007    0.004    0.002
 3-139462126 209.21853  34.11959   17.188   16.007   14.592   13.935    0.012    0.009    0.006    0.004
 3-139472332 138.44627  22.05750   15.899   15.604   15.474   15.459    0.002    0.008    0.003    0.002
 3-139680405 241.24822   5.20327   15.007   14.590   14.460   14.404    0.003    0.003    0.003    0.002
 3-139680527 241.01962   5.50424   15.125   14.568   14.353   14.252    0.004    0.003    0.003    0.003
 3-139680531 241.12021   5.38064   15.196   14.925   14.840   14.813    0.003    0.006    0.002    0.002
 3-139680626 240.87317   5.45109   14.670   13.985   13.722   13.532    0.002    0.004  999.000    0.002
 3-139680671 240.75582   5.59880   16.223   15.750   15.548   15.461  999.000    0.003    0.003    0.008
 3-139680744 240.70031   5.70653   15.503   14.706   14.347   14.151    0.003    0.003    0.006    0.006
 3-139680769 240.70989   5.75160   16.321   16.025   15.911   15.890    0.002    0.004    0.003    0.006
 3-139680976 240.38508   5.91374   14.991   14.446   14.217   14.112    0.004    0.004    0.004    0.006
 3-139681092 240.11925   6.24214   15.045   14.345   14.143   14.063    0.006    0.008    0.007    0.005
 3-139681182 240.00413   6.32939   15.244   14.659   14.430   14.327    0.003    0.003    0.002    0.002
 3-139681397 239.71914   6.57431   14.849   14.125   13.925   13.825    0.001    0.005    0.004    0.007
 3-139681422 239.60079   6.63048   15.279   14.775   14.582   14.490    0.004    0.002    0.002    0.003
 3-139690850 210.40203  33.20439   14.895   14.164   13.869   13.773    0.005    0.004    0.005    0.008
 3-139690879 210.24368  33.24703   17.115   16.003   15.487   15.232    0.013    0.004    0.003    0.004
 3-139691004 209.63164  33.82517   15.757   14.657   13.985   13.677  999.000    0.006    0.007    0.003
 3-139691040 209.67400  33.80803   16.930   15.714   14.607   14.091    0.001    0.008    0.005    0.003
 3-139691092 209.30557  34.14358   15.477   14.989   14.833   14.772    0.005    0.002    0.005    0.003
 3-139700821 139.49869  23.31721   16.294   16.021   15.909   15.895    0.006    0.006    0.006    0.001
 3-139906990 241.28816   5.50113   15.957   15.495   15.319   15.225    0.002    0.004    0.003    0.003
 3-139907317 240.69724   5.90111   16.138   15.683   15.512   15.433    0.002    0.006    0.004    0.002
 3-139907354 240.66847   5.91343   16.361   16.580   16.808   16.942    0.002    0.002    0.003    0.003
 3-139907461 240.35615   6.09032   15.578   15.646   15.766   15.822    0.002    0.005    0.003    0.003
 3-139907516 240.30473   6.17672   16.452   16.167   16.067   16.033    0.004    0.002    0.004    0.002
 3-139907735 239.81602   6.59445   15.194   15.369   15.565   15.659    0.003    0.003    0.002    0.002
 3-139907799 239.87680   6.75104   16.314   15.516   15.221   15.080    0.003    0.002    0.005    0.001
 3-139907854 239.66411   6.73331   15.826   15.392   15.262   15.210    0.004    0.003    0.003    0.002
 3-139907888 239.69909   6.86160   14.983   14.484   14.273   14.161    0.003    0.002    0.003    0.003
 3-139917336 210.47101  33.44676   16.409   15.858   15.646   15.582    0.008    0.001    0.003    0.005
 3-139917388 209.92901  33.91182   15.046   14.451   14.234   14.134    0.004    0.007    0.003    0.003
 3-139927535 139.01303  23.33701   16.141   15.764   15.650   15.649    0.005    0.003    0.003    0.002
 3-139927642 138.64798  22.95682   14.854   14.422   14.233   14.174    0.003    0.004    0.003    0.007
 3-139927671 138.56958  22.91502   15.339   15.070   14.991   14.989    0.005    0.004    0.002    0.003
 3-139927677 138.55054  22.81094   16.571   16.252   16.132   16.117    0.003    0.005    0.002    0.004
 3-139927714 138.34330  22.66258   16.009   16.138   15.929   16.067    0.063    0.050    0.022    0.041
 3-139927790 138.12037  22.46847   15.029   15.054   15.139   15.196    0.004    0.003    0.005    0.001
 3-140124781 251.85021  -3.13134   17.325   17.222   17.238   17.207    0.004    0.003    0.008    0.003
 3-140124890 251.47203  -2.89706   15.939   15.808   15.824   15.841    0.001    0.004    0.003    0.004
 3-140134315 241.30721   5.81288   16.027   15.496   15.295   15.204    0.004    0.003    0.003    0.003
 3-140134550 240.81475   6.16444   16.207   15.897   15.795   15.753    0.006    0.002    0.003    0.006
 3-140134751 240.45538   6.47870   16.287   15.969   15.864   15.840    0.001    0.003    0.002    0.003
 3-140134881 240.17286   6.57447   15.331   15.417   15.565   15.633    0.003    0.004    0.003    0.003
 3-140135138 239.91978   7.04729   16.195   15.421   15.151   15.013    0.003    0.004    0.005    0.004
 3-140155126 138.16566  22.86725   14.596   13.713   13.313   13.113    0.002  999.000    0.010    0.005
 3-140358082 250.38578  -1.60953   16.147   16.065   16.111   16.109    0.007    0.003    0.002    0.003
 3-140365541 241.82291   5.52885   16.298   16.024   15.956   15.917    0.006    0.004    0.004    0.006
 3-140380982 165.33685  47.76916   16.180   16.197   16.296   16.390    0.009    0.006    0.005    0.011
 3-140584206 251.46429  -2.22406   17.422   17.272   17.282   17.285    0.006    0.002    0.005    0.006
 3-140593431 240.83978   6.80673   15.700   15.321   15.430   15.480    0.109    0.089    0.022    0.037
 3-140593626 240.63242   6.75886   16.524   16.233   16.137   16.109    0.010    0.003    0.005    0.007
 3-140600139 224.50464  21.05761   15.196   14.447   14.109   13.954    0.004    0.006    0.004    0.003
 3-140608370 165.25666  47.88423   15.847   15.376   15.213   15.159    0.007    0.003    0.004    0.003
 3-140608422 165.16569  47.69609   15.630   15.145   14.955   14.868    0.007    0.005    0.002    0.005
 3-140608451 164.86420  47.52682   16.955   15.746   14.462   13.856    0.013    0.013    0.007    0.013
 3-140613756 137.97371  23.41620   15.707   15.429   15.327   15.333    0.006    0.005    0.004    0.006
 3-140613781 137.70405  23.13398   14.787   14.058   13.816   13.712    0.007  999.000    0.002    0.002
 3-140806405 251.88766  -2.45846   16.428   15.327 -999.000 -999.000    0.020    0.067  999.000  999.000
